run_accession,experiment,biosample,bioproject,collection_date,site_or_sample,strategy,platform,gbases
SRR38294651,SRX33130625,SAMN57413821,PRJNA1247874,2026-02-15,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,229.82
SRR38294735,SRX33130542,SAMN57413785,PRJNA1247874,2026-02-15,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,236.46
SRR38294744,SRX33130533,SAMN57413797,PRJNA1247874,2026-02-15,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,213.36
SRR38294766,SRX33130801,SAMN57413833,PRJNA1247874,2026-02-15,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,237.81
SRR38294717,SRX33130560,SAMN57413809,PRJNA1247874,2026-02-16,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,220.01
SRR38294648,SRX33130627,SAMN57413822,PRJNA1247874,2026-02-22,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,246.98
SRR38294724,SRX33130553,SAMN57413798,PRJNA1247874,2026-02-22,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,214.4
SRR38294736,SRX33130541,SAMN57413786,PRJNA1247874,2026-02-22,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,445.0
SRR38294765,SRX33130802,SAMN57413834,PRJNA1247874,2026-02-22,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,244.42
SRR38294661,SRX33130615,SAMN57413810,PRJNA1247874,2026-02-23,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,226.21
SRR38294725,SRX33130552,SAMN57413799,PRJNA1247874,2026-03-01,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,478.78
SRR38294737,SRX33130540,SAMN57413787,PRJNA1247874,2026-03-01,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,493.71
